tweet,label
@jhrmyng Asli may. Bbm naik 3000 perak. Tp anggaran bensin gue naik hampir 50% . 😪 . Btw apakabar may?,pro
Ini sebenarnya negri konoha apa film ''pinocchio'' si..bikin isi kepala pusing aja. @Bjorka @kasusferdisambo @bbmnaik @kominfo,kontra
"Di era bbm naik dan barang2 lain juga, kita harus bisa survive gmn caranya nonton the link, tds, dan smtown😭 konser wayv juga dong!!",pro
"@geloraco OKnum ASN mikire cupet"".  Gaji buta .Kerjo kluyuran. Kerjane Absen. Jadi Beban Negara.  Bbm sembako naik, rakyate sing nanggung roto.",kontra
Bbm naik rodok keroso yo buat pp bekerza hm,pro
"Selama BBM harga naik blom pernah beli sama sekali,",pro
Orang indo tuh aneh yo bbm naik di demo tapi rokok naik ga di demo. Malah makin giat kerja buat beli rokok,pro
"@pipit06 @zakicha29230025 @wiradisuta @Alfaqir__99 @Dennysiregar7 Minimal mereka tunjukkan usaha mereka mendahulukan kebutuhan rakyat diatas gaya hidup mereka, jika BBM memang harus naik, mungkin bisa tidak sebesar itu. Semoga kamu selalu berkecukupan sehingga tdk perlu merasakan beratnya hidup dibawah sini dgn harga kebutuhan pokok spt skrg.",pro
@___Be_my_mine Pulang lu pada woy emak2.. masak buat keluarga bsk pagi pikirin. Kagak usah belagak demo ngurusin bbm naik 2000 perak klo uu nye di bayar 20rb plus nasi bungkus,pro
"@jokowi Noh rakyat demo, kesian gara² bbm naik",pro
"happy mensive sayang, gaada yang tau kita udah sejauh apa, dan gaada yang tau juga kita udah ngelewatin apa, intinya dari hari pertama sampe sekarang juga sayangnya aku ke kamu masih fulltank, walau bbm naik tp gk jd alasan buat aku gk isi full cintaku buatmu ANJAY @somyiie",pro
@095pages Benerrrr kaya aneh tapi ga ngerti deh maksudnya apa bbm naik jadi kek biasa aja alias gue gapernah isi bensin wkwkwk karena gue nyewain mobil ke orang sekarang untuk menambah oendapatan gue dan bensin ya diisiin juga wkwkwk,pro
@natztawin BBM naik dik...@jokowi ni bwt turunin wrrwrrwrr[mmksa],kontra
@thelank3 @er_wanty @DrEvaChaniago @PengacaraOgiMks Siapapun Presidennya FAKTA BBM akan terus naik... lah wong arab saudi Rajanya Minyak aja BBM nya bs naik...🤔  https://t.co/EFxhuqcWnM,kontra
Semoga berkurang orang miskin di 2024 seiring BBM dll Naik,kontra
"Rokok Naik Nggak Protes,BBM Naik Pada Sibuk Demo Kata Cebong  https://t.co/KEssfKSBRl",pro
@ZulkifliLubis69 @caul_tanjung Setuju pak polisi.. Kalo jendela rusak siapa yang akan tanggung jawab?? Masyarakat kecekek bbm naik yang tanggung jawab sapa pak? Hutang negara ga sanggup bayar yg tanggung jawab siapa pak? Kami harus lapor ke polisi?,kontra
"BBM Naik Tinggi Susu Tak Terbeli Salah satu syair lagu dari sang legend. Selalu enak diputar,namun menyayat hati. Berapa banyak anak kurang gizi gara2 susu tak terbeli. Miris",kontra
@Zem_Di @aniesmania @AndiSinulingga @bintangku206 @bos_sir @Yonz_lp @smileupdate2024 @RelawanAnies24 @aniesjateng @fktmb @ArdiRiau3 @PutraWadapi2 Jokowi Triliyunan duit negara bbm malah naik,kontra
"BBM Naik, Pakar Unair Prediksi Kemunculan Orang Miskin Baru  https://t.co/jtSbvYf78w",kontra
@setkabgoid @jokowi @PlateJohnny @kemkominfo Harga BBM naik! Kebocoran data! Tarif listrik rencananya naik? Pak jgn bikin geregetan rakyat dong. Slogan kerja-kerja tp hasil tak memuaskan rakyat.terus selama ini ngerjain apa?,kontra
"(4)Harga minyak kan lagi turun, kok harga BBM di Indonesia naik  Namun tidak seluruhnya dapat menjadi BBM, 10-15% minyak mentah tidak dapat menjadi BBM, sehingga hanya 135 -143 L/ 159 L yang menjadi BBM. Sehingga harga per L adalah 10200- 10700. Lalu bagaimana dengan biaya lainya",kontra
"Seminggu dikasih ongkos BBM 50k  Harusnya bisa smpe Jumat, tpi gegara naik jdi kurang... Trus sisanya gmana? Jalan kaki? Bantu dengan tenaga surya?   Pak sehat? Itu baru BBM belom perkara makan... Masa saya harus puasa Daud smpe lulus pak 😭😭",kontra
"Jokowi Minta Pakai Dana Tak Terduga Rp 9,5 T Atasi Lonjakan Harga Imbas BBM Naik   https://t.co/QxjZGh9CaJ  https://t.co/Q8shG4Ziib",pro
"acehkini: RT @kumparan: Sejak harga bahan bakar minyak (BBM) naik pekan lalu, Adi mulai irit dan hitung-hitungan pengeluaran. #publisherstory #acehkini  https://t.co/8CP2iOzEwi",kontra
"@CNNIndonesia Industri tambang yang mana, punya china kali, wong rakyat Indonesia disini hidup susah, bbm naik, industri tambang Industri tambang ngaco lu",pro
Sesama Pendemo Menolak #bbmnaik di patung kuda berantem satu korban dilarikan ke #RumahSehat..  Moga gak kenapa kenapa..  #AniesdanJakarta  #AniesBaswedan  #rebranding #rumahsakit,kontra
"@detikcom Wahai pak @jokowi yg terhormat, kau subsidi bbm berarti kau juga subsidi sembako, kalau kau tarik subsidi semuaaaa bahan pokok naik, jadi tdk usah kau bicara soal bbm cuma dinikmati orang kaya, jadilah presiden yg memihak rakyat kecil, bukan segelintir org yg memanfaatkanmu",kontra
Efek negatif kenaikan harga BBM  Setelah 2 minggu sejak pengumuman naik...,kontra
"Demo Kenaikan Harga BBM Tertib Moeldoko Pastikan, Pemerintahan Jokowi-Maruf Tidak Anti Kritik  #bbmnaik    https://t.co/BWafTgAL7r",kontra
"@mas_javelin2001 dalam demo kenaikan BBM, kenapa tidak ada yang demo ke Kedubes Rusia (dalam konteks karena Rusia, harga minyak naik)",kontra
"BBM naik, khilafuck Solusinya, dasar Kadrun",pro
@REger72 Bbm naik.  Pemerintah anis yg naikan ??,pro
@jokowi saya orang malang pak selalu pilih bpak dan sampai sekarang saya  medukung bpak tapi kenapa saya engk pernah dapat bantuan dari pemeritah apalagi saya sekarang lebih bayak ngagur imbas dari bbm naik tapi saya tepek saya tetap banga sma bpak jokowi presiden kebangak ku,kontra
@alisyarief Ini si g usah d retas sdh ktauan track recordnye..1.nangis saat bbm naik 2.matiin mic..itu prestasinye..dua hal populer yg g akan di lupakan...😴,pro
"@detikcom slamat jd pengangguran gengs, pas pula bbm naik🤕🤒🇮🇩",pro
sesama teman atmajaya naik spp tuh bikin istifar 🥲 apalagi saat pandemi gini pemerintah tuh peka kenapa sih mbok bbm gak usah naik apa kemana-mana naik motor dan jarak ke kampus juga jauh😭,kontra
Kalo bjorka orang indonesia harusnya case close alias cukup tau aja. Berarti itu cuma pengalihan isu dari kasus besar sambo dan BBM naik,pro
"Ini para cukong yang membuat krismon.. Saya ingat 1 US Dollar saat di bulan maret mendekati Rp 10ribu..  Sekarang mah nilai dollar naik rupiah melemah turun, BBM dan TDL naik mah Bapak Jokowi tetap jadi presiden..Bahkan ada wacana 3 periode..  Itulah hebatnya Bapak Jokowi.😃",kontra
@undipmenfess bbm naik @dermawan_dhafa,pro
Aktivis cilik yang turun kejalan insyaallah akan menjadi generasi penerus bangsa yang peduli akan kemajuan sebuah negeri.  #BBMNaik_RakyatMenjerit  @pmiiofficial  @KSPgoid  @mabdullahsyukri  @bjork  @DPR_RI  https://t.co/C56ytsXWlH,pro
"Weh, kesempatan nih ya buat minta naik gaji demo bensin mahal, teriak minta turunkan harga BBM tapi itu demo pada naek kendaraan pribadi,,gerung2 motor sepanjang jalan apa gk boros n jd mubazir itu bensin??hadeeehh   https://t.co/4FiClC7lWe",kontra
"Harga BBM Naik Tapi Pembangunan IKN dan Korupsi Pejabat Jalan Terus, Din Syamsuddin: Bentuk Kezaliman yang Nyata!  https://t.co/fpOeYusCVs",kontra
"@GarengHallu Indonesia bisa aktif menengahi perang Ukraina, fans khilapah ginian bisa apa, mungkin tau ada perang aja nggk. dipikir kebijakan BBM naik itu ga ada sebabnya trus main demo khilapah aja...",kontra
"@tanyakanrl Pintar mbahmu. Ga pernah ngerasain gaji umr jogja yahhh, udah rendah eh bbm naik yang otomatis harga lainnya juga ikut naik. Dan dengan enaknya bilang 'jika kalian pintar mengelola keuangan' ngomong mah gampangg tinggal keluar",kontra
@susipudjiastuti @PartaiSocmed @Hegie_bae Jadi ibu setuju BBM naik kan yah?  #BBMNaikRakyatRevolusi  #LengserkanJokowiHargaMati,pro
"@Heraloebss tambah anggaran, pengen ganti  aipon 14 pro max yg dikenal aman",pro
"@GunRomli Gus bolehkah saya minta, gus juga kritik mega yang nangis nagis ketika bbm naik di era sby dan diam diera jokowi, dan apakah berani kritik puan yang sok maunya sendiri tampa memikirkan rakyat?",kontra
BBM naik Listrik naik Sembako naik Sekarang bapak turun pak gantian. #Septemberberdarah #BBMNaikRakyatRevolusi,kontra
